All days with start 2021-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,80.05416655721532,57.0,66.5,1.5
1.0,80.69962420154593,79.97872315448649,58.0,66.0,1.5
2.0,80.6202674744245,79.89652213511327,63.0,64.5,1.5
3.0,80.53411263610865,79.8075879848497,68.0,62.0,1.5
4.0,80.44118521613636,79.71194719509147,79.0,58.0,1.5
5.0,80.34151275090771,79.60962825498467,241.0,50.0,1.5
6.0,80.23512477552525,79.50066164293968,267.0,59.5,1.5
7.0,80.12205281504212,79.38507981755224,284.0,65.0,1.5
8.0,80.00233037512052,79.26291720793489,289.0,67.0,1.5
9.0,79.8759929321032,79.13421020346131,295.0,69.0,1.5
10.0,79.74307792250114,78.99899714292675,326.0,77.5,1.5
11.0,79.6036247319002,78.8573183031279,338.0,80.0,1.5
12.0,79.4576746832904,78.70921588686521,370.0,80.25,0.5
13.0,79.30527102482102,78.55473401037186,385.0,77.5,0.5
14.0,79.14645891698521,78.39391869017243,386.0,77.0,0.5
15.0,78.98128541923795,78.22681782937569,389.0,76.75,0.5
16.0,78.80979947605137,78.05348120340545,392.0,75.75,0.5
17.0,78.63205190241139,77.87396044517357,394.0,75.0,0.5
18.0,78.44809536876019,77.6883090296997,395.0,74.75,0.5
19.0,78.25798438538882,77.4965822581824,405.0,71.75,0.5
20.0,78.06177528628456,77.29883724152617,418.0,67.375,0.5
21.0,77.85952621243803,77.09513288332948,423.0,65.375,0.5
22.0,77.65129709461469,76.88552986233871,428.0,63.5,0.5
23.0,77.43714963559611,76.67009061437346,429.0,63.25,0.5
24.0,77.21714729189608,76.44887931372833,436.0,60.5,0.5
25.0,76.99135525495707,76.22196185405687,437.0,60.0,0.5
26.0,76.75984043183263,75.98940582874354,438.0,59.75,0.5
27.0,76.52267142536134,75.75128051076906,441.0,58.625,0.5
28.0,76.27991851383834,75.50765683207574,444.0,57.375,0.5
29.0,76.03165363019036,75.25860736243847,472.0,46.75,0.5
30.0,75.77795034066041,75.00420628784786,477.0,45.0,0.5
31.0,75.51888382300857,74.74452938841209,498.0,39.0,0.5
32.0,75.25453084423509,74.47965401578361,512.0,36.0,0.5
33.0,74.98496973783281,74.20965907011808,520.0,35.0,0.5
34.0,74.71028038057518,73.93462497657173,528.0,34.5,0.5
35.0,74.430544168847,73.6546336613447,529.0,34.5,0.5
36.0,74.14584399452505,73.36976852727709,530.0,34.25,0.5
37.0,73.85626422041527,73.08011442900518,531.0,34.25,0.5
38.0,73.56189065525439,72.7857576476853,532.0,34.25,0.5
39.0,73.26281052828288,72.48678586529269,536.0,34.25,0.5
40.0,72.95911246339702,72.18328813850302,550.0,34.75,0.5
