All days with start 2021-01-01,theoretical curve (leap day corrected) (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77263222183005,80.00519780715261,57.0,66.5,1.5
1.0,80.70019584002738,79.92663137706583,58.0,66.0,1.5
2.0,80.62094699763377,79.84134072685428,63.0,64.5,1.5
3.0,80.53490914565668,79.74935116287189,68.0,62.0,1.5
4.0,80.44210774408076,79.65068997908884,79.0,58.0,1.5
5.0,80.34257025433374,79.54538644899324,241.0,50.0,1.5
6.0,80.23632613116023,79.43347181690551,267.0,59.5,1.5
7.0,80.12340681390559,79.3149792887079,284.0,65.0,1.5
8.0,80.00384571721251,79.18994402199215,289.0,67.0,1.5
9.0,79.87767822113304,79.05840311562785,295.0,69.0,1.5
10.0,79.74494166065911,78.92039559875508,326.0,77.5,1.5
11.0,79.60567531467449,78.77596241920408,338.0,80.0,1.5
12.0,79.45992039433153,78.62514643134578,370.0,80.25,0.5
13.0,79.30772003085615,78.4679923833766,385.0,77.5,0.5
14.0,79.14911926278455,78.30454690404127,386.0,77.0,0.5
15.0,78.98416502263566,78.13485848879783,389.0,76.75,0.5
16.0,78.812906123023,77.95897748542865,392.0,75.75,0.5
17.0,78.63539324221023,77.77695607910185,394.0,75.0,0.5
18.0,78.45167890911472,77.5888482768876,395.0,74.75,0.5
19.0,78.2618174877633,77.39470989173383,405.0,71.75,0.5
20.0,78.06586516120512,77.19459852590612,418.0,67.375,0.5
21.0,77.86387991488618,76.98857355389673,423.0,65.375,0.5
22.0,77.6559215194905,76.77669610480768,428.0,63.5,0.5
23.0,77.442051513253,76.55902904421339,429.0,63.25,0.5
24.0,77.22233318374938,76.33563695550791,436.0,60.5,0.5
25.0,76.99683154916826,76.10658612074266,437.0,60.0,0.5
26.0,76.76561333907128,75.87194450096001,438.0,59.75,0.5
27.0,76.52874697464674,75.63178171602874,441.0,58.625,0.5
28.0,76.28630254846271,75.38616902398734,444.0,57.375,0.5
29.0,76.03835180372545,75.13517929990122,472.0,46.75,0.5
30.0,75.78496811304944,74.8788870142402,477.0,45.0,0.5
31.0,75.52622645674535,74.61736821078252,498.0,39.0,0.5
32.0,75.262203400632,74.35070048405208,512.0,36.0,0.5
33.0,74.99297707337942,74.07896295629568,520.0,35.0,0.5
34.0,74.71862714338931,73.8022362540068,528.0,34.5,0.5
35.0,74.43923479521978,73.52060248400315,529.0,34.5,0.5
