All days with start 2022-01-01,theoretical curve (leap day corrected) (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
365.0,80.7901137037338,80.47860573703011,370.0,80.25,0.25
366.0,80.71942974568668,80.37557314115682,385.0,77.5,0.25
367.0,80.64192787285977,80.26610816380669,386.0,77.0,0.25
368.0,80.55763101850545,80.1502419145336,389.0,76.75,0.25
369.0,80.46656412655048,80.02800732210991,392.0,75.75,0.25
370.0,80.36875414421485,79.8994391251683,394.0,75.0,0.25
371.0,80.26423001403805,79.76457386232912,395.0,74.75,0.25
372.0,80.1530226653147,79.62344986181625,405.0,71.75,0.25
373.0,80.03516500494247,79.47610723056438,418.0,67.375,0.25
374.0,79.91069190768471,79.32258784282072,423.0,65.375,0.25
375.0,79.7796402058508,79.16293532824457,428.0,63.5,0.25
376.0,79.64204867839723,78.9971950595078,429.0,63.25,0.25
377.0,79.49795803945277,78.82541413940022,436.0,60.5,0.25
378.0,79.34741092627084,78.64764138744312,437.0,60.0,0.25
379.0,79.19045188661289,78.46392732601481,438.0,59.75,0.25
380.0,79.02712736556661,78.27432416599254,441.0,58.625,0.25
381.0,78.8574856918023,78.07888579191419,444.0,57.375,0.25
382.0,78.68157706327241,77.87766774666457,472.0,46.75,0.25
383.0,78.49945353235748,77.67072721569029,477.0,45.0,0.25
384.0,78.31116899046364,77.4581230107479,498.0,39.0,0.25
385.0,78.11677915207576,77.23991555318972,512.0,36.0,0.25
386.0,77.91634153827133,77.01616685679241,520.0,35.0,0.25
387.0,77.70991545969949,76.78694051013281,528.0,34.5,0.25
388.0,77.49756199903078,76.55230165851633,529.0,34.5,0.25
389.0,77.27934399288237,76.31231698546286,530.0,34.25,0.25
390.0,77.05532601322435,76.06705469375555,531.0,34.25,0.25
391.0,76.82557434827253,75.81658448605789,532.0,34.25,0.25
392.0,76.59015698287334,75.56097754510434,536.0,34.25,0.25
393.0,76.34914357838676,75.30030651347057,550.0,34.75,0.25
394.0,76.10260545207309,75.03464547292867,551.0,35.0,0.25
395.0,75.8506155559898,74.76406992339331,553.0,35.25,0.25
396.0,75.5932484554045,74.48865676146502,564.0,36.75,0.25
397.0,75.33058030673075,74.20848425857639,577.0,39.75,0.25
398.0,75.06268883499297,73.92363203874768,581.0,40.75,0.25
399.0,74.78965331082692,73.6341810559579,590.0,43.75,0.25
400.0,74.51155452702339,73.34021357113797,593.0,44.25,0.25
401.0,74.22847477462088,73.04181312879251,594.0,44.5,0.25
402.0,73.94049781855533,72.73906453325674,598.0,46.0,0.25
403.0,73.64770887287358,72.43205382459549,599.0,46.25,0.25
404.0,73.35019457551803,72.12086825415074,624.0,55.25,0.25
405.0,73.04804296268993,71.80559625974531,625.0,56.0,0.25
406.0,72.74134344279905,71.486327440549,646.0,64.25,0.25
407.0,72.43018677000715,71.16315253161488,673.0,73.25,0.25
408.0,72.1146650173733,70.83616337809272,687.0,77.0,0.25
409.0,71.79487154960893,70.50545290912692,688.0,77.25,0.25
410.0,71.47090099545069,70.1711151114464,708.0,80.5,0.25
411.0,71.14284921965928,69.83324500265383,709.0,80.5,0.25
412.0,70.81081329465245,69.49193860422207,721.0,81.0,0.25
413.0,70.47489147178078,69.14729291420515,,,
414.0,70.13518315225446,68.79940587967184,,,
415.0,69.79178885772998,68.44837636886932,,,
416.0,69.44481020056509,68.0943041431253,,,
417.0,69.09434985375125,67.73728982849613,,,
418.0,68.74051152053204,67.37743488716927,,,
419.0,68.38339990371662,67.01484158862816,,,
420.0,68.02312067469784,66.64961298058745,,,
421.0,67.65978044218322,66.28185285970734,,,
422.0,67.293486720649,65.91166574209488,,,
423.0,66.92434789852584,65.5391568336009,,,
424.0,66.55247320612617,65.16443199992088,,,
425.0,66.1779726833222,64.78759773650826,,,
426.0,65.80095714698459,64.40876113830886,,,
427.0,65.42153815819103,64.02802986932485,,,
428.0,65.03982798921469,63.645512132017046,,,
429.0,64.65593959030225,63.26131663655418,,,
430.0,64.26998655625114,62.87555256991779,,,
431.0,63.88208309279638,62.48832956487173,,,
432.0,63.49234398281618,62.099757668804926,,,
433.0,63.100884552367376,61.709947312456265,,,
434.0,62.707820636559354,61.31900927853067,,,
435.0,62.31326854527823,60.927054670214915,,,
436.0,61.917345028769596,60.53419487960259,,,
437.0,61.520167243091954,60.14054155603686,,,
438.0,61.121852715449116,59.74620657438007,,,
439.0,60.722519309413514,59.35130200321943,,,
440.0,60.32228519004958,58.95594007301736,,,
441.0,59.92126878894798,58.56023314421612,,,
442.0,59.51958876918113,58.16429367530533,,,
443.0,59.117363990189986,57.768234190861634,,,
444.0,58.714713472612985,57.372167249569756,,,
445.0,58.31175636306699,56.97620541223353,,,
446.0,57.90861189889129,56.58046120978668,,,
447.0,57.505399372864396,56.185047111311846,,,
448.0,57.10223809790481,55.7900754920773,,,
449.0,56.69924737176546,55.39565860160036,,,
450.0,56.29654644173293,55.001908531746345,,,
451.0,55.89425446934154,54.608937184872595,,,
452.0,55.49249049511249,54.21685624202614,,,
453.0,55.09137340332947,53.82577713120439,,,
454.0,54.69102188685977,53.435810995687696,,,
455.0,54.29155441203262,53.047068662452865,,,
456.0,53.8930891835841,52.65966061067636,,,
457.0,53.49574410967995,52.27369694033679,,,
458.0,53.0996367670255,51.8892873409246,,,
459.0,52.70488436607441,51.506541060268944,,,
460.0,52.31160371634519,51.12556687348978,,,
461.0,51.91991119185665,50.74647305208421,,,
462.0,51.529922696692175,50.36936733315642,,,
463.0,51.14175363070301,49.9943568887988,,,
464.0,50.755518855360805,49.62154829563439,,,
465.0,50.37133265976934,49.251047504528,,,
466.0,49.98930872684586,48.88295981047526,,,
467.0,49.609560099681616,48.517389822678425,,,
468.0,49.232199148091695,48.15444143481652,,,
469.0,48.8573375353641,47.794217795519366,,,
470.0,48.48508618521811,47.43682127905304,,,
471.0,48.11555524898117,47.082353456225334,,,
472.0,47.748854072994504,46.73091506551996,,,
473.0,47.385091166256984,46.38260598446673,,,
474.0,47.02437416831648,46.03752520125701,,,
475.0,46.66680981741894,45.69577078661149,,,
476.0,46.31250391892379,45.35743986590877,,,
477.0,45.96156131399558,45.02262859158276,,,
478.0,45.614085848580714,44.691432115796566,,,
479.0,45.27018034267918,44.36394456340051,,,
480.0,44.92994655991908,44.0402590051821,,,
