All days with start 2022-01-01,theoretical curve (leap day corrected) (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
365.0,80.78967431400056,80.54965786550208,370.0,80.25,0.5
366.0,80.71894447546927,80.44425789369029,385.0,77.5,0.5
367.0,80.64139662832417,80.33245185829324,386.0,77.0,0.5
368.0,80.55705372022088,80.21427139373793,389.0,76.75,0.5
369.0,80.46594070958285,80.08974993803392,392.0,75.75,0.5
370.0,80.3680845582158,79.95892272331237,394.0,75.0,0.5
371.0,80.26351422332928,79.82182676585738,395.0,74.75,0.5
372.0,80.15226064896773,79.67850085563273,405.0,71.75,0.5
373.0,80.03435675685373,79.52898554530651,418.0,67.375,0.5
374.0,79.90983743664582,79.37332313877721,423.0,65.375,0.5
375.0,79.77873953561419,79.21155767920423,428.0,63.5,0.5
376.0,79.64110184773692,79.04373493654626,429.0,63.25,0.5
377.0,79.49696510222023,78.86990239461117,436.0,60.5,0.5
378.0,79.34637195144606,78.69010923762092,437.0,60.0,0.5
379.0,79.18936695835052,78.50440633629533,438.0,59.75,0.5
380.0,79.02599658323705,78.31284623345873,441.0,58.625,0.5
381.0,78.856309170028,78.11548312917348,444.0,57.375,0.5
382.0,78.68035493195897,77.91237286540462,472.0,46.75,0.5
383.0,78.49818593671982,77.70357291021985,477.0,45.0,0.5
384.0,78.30985609104708,77.48914234152957,498.0,39.0,0.5
385.0,78.11542112477198,77.26914183037137,512.0,36.0,0.5
386.0,77.91493857432926,77.0436336237437,520.0,35.0,0.5
387.0,77.70846776573099,76.8126815269937,528.0,34.5,0.5
388.0,77.49606979701124,76.57635088576416,529.0,34.5,0.5
389.0,77.27780752014615,76.33470856750449,530.0,34.25,0.5
390.0,77.05374552245492,76.08782294255138,531.0,34.25,0.5
391.0,76.82395010748749,75.83576386478393,532.0,34.25,0.5
392.0,76.58848927540416,75.5786026518593,536.0,34.25,0.5
393.0,76.34743270285341,75.31641206503396,550.0,34.75,0.5
394.0,76.10085172235321,75.04926628857672,551.0,35.0,0.5
395.0,75.84881930118287,74.77724090877891,553.0,35.25,0.5
396.0,75.59141001979056,74.50041289256806,564.0,36.75,0.5
397.0,75.32870004972399,74.21886056573081,577.0,39.75,0.5
398.0,75.06076713108993,73.93266359075139,581.0,40.75,0.5
399.0,74.7876905495496,73.64190294427193,590.0,43.75,0.5
400.0,74.50955111285685,73.34666089418087,593.0,44.25,0.5
401.0,74.22643112694584,73.04702097633613,594.0,44.5,0.5
402.0,73.93841437157538,72.74306797092933,598.0,46.0,0.5
403.0,73.64558607553708,72.43488787849823,599.0,46.25,0.5
404.0,73.34803289143494,72.12256789559355,624.0,55.25,0.5
405.0,73.0458428700433,71.80619639010769,625.0,56.0,0.5
406.0,72.73910543425123,71.48586287627178,646.0,64.25,0.5
407.0,72.42791135260096,71.16165798932866,673.0,73.25,0.5
408.0,72.11235271242782,70.8336734598883,687.0,77.0,0.5
