All days with start 2021-01-01,Fitted curve MK (deg),Fitted curve BA (deg),Days when measured beta,Beta naive min (deg), Beta uncertainty pm (deg)
0.0,80.47860568812986,80.37613883393422,5.0,80.25,0.25
1.0,80.37557309372973,80.26663613010771,20.0,77.5,0.25
2.0,80.26610811781737,80.15073276433989,21.0,77.0,0.25
3.0,80.1502418699464,80.02846167350901,24.0,76.75,0.25
4.0,80.02800727888898,79.89985760404382,27.0,75.75,0.25
5.0,79.89943908327757,79.76495710204941,29.0,75.0,0.25
6.0,79.76457382173234,79.6237985029217,30.0,74.75,0.25
7.0,79.623449822477,79.47642192045353,40.0,71.75,0.25
8.0,79.47610719244611,79.3228692354352,53.0,67.375,0.25
9.0,79.32258780588674,79.16318408375315,58.0,65.375,0.25
10.0,79.16293529245806,78.9974118439895,63.0,63.5,0.25
11.0,78.9971950248319,78.82559962452676,64.0,63.25,0.25
12.0,78.82541410579798,78.64779625016071,71.0,60.5,0.25
13.0,78.6476413548775,78.4640522482256,72.0,60.0,0.25
14.0,78.46392729444884,78.27441983423554,73.0,59.75,0.25
15.0,78.27432413538915,78.07895289704612,76.0,58.625,0.25
16.0,78.07888576223635,77.87770698354058,79.0,57.375,0.25
17.0,77.8776677178753,77.67073928284468,107.0,46.75,0.25
18.0,77.67072718775263,77.45810861007499,112.0,45.0,0.25
19.0,77.45812298362496,77.23987538962513,133.0,39.0,0.25
20.0,77.23991552684471,77.01610163799455,147.0,36.0,0.25
21.0,77.01616683118866,76.7868509461651,155.0,35.0,0.25
22.0,76.78694048523374,76.55218846152992,163.0,34.5,0.25
23.0,76.55230163428553,76.31218086938023,164.0,34.5,0.25
24.0,76.31231696186407,76.06689637395498,165.0,34.25,0.25
25.0,76.06705467075268,75.81640467905888,166.0,34.25,0.25
26.0,75.81658446361506,75.56077696825436,167.0,34.25,0.25
27.0,75.56097752318588,75.30008588463289,171.0,34.25,0.25
28.0,75.30030649204107,75.03440551017162,185.0,34.75,0.25
29.0,75.03464545195291,74.76381134468116,186.0,35.0,0.25
30.0,74.7640699028364,74.48838028435028,188.0,35.25,0.25
31.0,74.48865674129232,74.20819059989407,199.0,36.75,0.25
32.0,74.2084842387536,73.92332191431116,212.0,39.75,0.25
33.0,73.92363201924078,73.63385518025697,216.0,40.75,0.25
34.0,73.63418103673321,73.33987265703891,225.0,43.75,0.25
35.0,73.3402135521622,73.04145788724026,228.0,44.25,0.25
36.0,73.04181311003269,72.73869567297952,229.0,44.5,0.25
37.0,72.73906451468034,72.43167205181166,233.0,46.0,0.25
38.0,72.43205380617032,72.12047427227843,234.0,46.25,0.25
39.0,72.12086823584508,71.80519076911446,259.0,55.25,0.25
40.0,71.80559624152784,71.48591113811625,260.0,56.0,0.25
41.0,71.48632742238885,71.16272611068129,281.0,64.25,0.25
42.0,71.16315251348166,70.83572752802444,308.0,73.25,0.25
43.0,70.8361633599565,70.50500831507891,322.0,77.0,0.25
44.0,70.50545289095827,70.17066245408927,323.0,77.25,0.25
45.0,70.17111509321637,69.83278495790402,343.0,80.5,0.25
46.0,69.83324498433402,69.49147184297536,344.0,80.5,0.25
47.0,69.4919385857846,69.1468201020735,356.0,81.0,0.25
48.0,69.1472928956227,68.7989276767239,,,
49.0,68.7994058609176,68.44789342937463,,,
50.0,68.44837634991708,68.09381711530203,,,
51.0,68.09430412394943,67.73679935426283,,,
52.0,67.73728980907161,67.37694160190044,,,
53.0,67.37743486747168,67.01434612091376,,,
54.0,67.01484156863366,66.64911595199665,,,
55.0,66.64961296027285,66.28135488455632,,,
56.0,66.2818528390501,65.91116742721894,,,
57.0,65.9116657210731,65.53865877813081,,,
58.0,65.53915681219335,65.16393479506371,,,
59.0,65.16443197810696,64.78710196533272,,,
60.0,64.78759771426807,64.40826737553509,,,
61.0,64.4087611156232,64.02753868111897,,,
62.0,64.02802984617519,63.64502407579028,,,
63.0,63.64551210838558,63.26083226076684,,,
64.0,63.261316612423784,62.87507241388804,,,
65.0,62.875552545272065,62.487854158589315,,,
66.0,62.48832953969501,62.099287532749756,,,
67.0,62.09975764308228,61.70948295742214,,,
68.0,61.7099472861735,61.31855120545396,,,
69.0,61.319009251674316,60.926603370008486,,,
70.0,60.927054642772255,60.5337508329949,,,
71.0,60.534194851561665,60.14010523341622,,,
72.0,60.14054152738647,59.745778435644304,,,
73.0,59.74620654510981,59.350882497630735,,,
74.0,59.35130197331959,58.955529639062725,,,
75.0,58.95594004247906,58.559832209473015,,,
76.0,58.560233113031224,58.16390265631297,,,
77.0,58.16429364346647,57.767853492997716,,,
78.0,57.76823415836228,57.37179726693266,,,
79.0,57.37216721640409,56.975846527530244,,,
80.0,56.97620537839654,56.58011379422623,,,
81.0,56.58046117527414,56.1847115245044,,,
