All days with start 2021-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,79.91575453321045,57.0,66.5,1.5
1.0,80.69962420154593,79.83820556174535,58.0,66.0,1.5
2.0,80.6202674744245,79.75394626309802,63.0,64.5,1.5
3.0,80.53411263610865,79.66300164593459,68.0,62.0,1.5
4.0,80.44118521613636,79.56539870316391,79.0,58.0,1.5
5.0,80.34151275090771,79.46116640392589,241.0,50.0,1.5
6.0,80.23512477552525,79.35033568499328,267.0,59.5,1.5
7.0,80.12205281504212,79.23293944158944,284.0,65.0,1.5
8.0,80.00233037512052,79.10901251762482,289.0,67.0,1.5
9.0,79.8759929321032,78.97859169535512,295.0,69.0,1.5
10.0,79.74307792250114,78.8417156844641,326.0,77.5,1.5
11.0,79.6036247319002,78.69842511057428,338.0,80.0,1.5
12.0,79.4576746832904,78.54876250318901,370.0,80.25,0.5
13.0,79.30527102482102,78.39277228306946,385.0,77.5,0.5
14.0,79.14645891698521,78.23050074905031,386.0,77.0,0.5
15.0,78.98128541923795,78.06199606429793,389.0,76.75,0.5
16.0,78.80979947605137,77.88730824201531,392.0,75.75,0.5
17.0,78.63205190241139,77.70648913059779,394.0,75.0,0.5
18.0,78.44809536876019,77.51959239824416,395.0,74.75,0.5
19.0,78.25798438538882,77.32667351702763,405.0,71.75,0.5
20.0,78.06177528628456,77.1277897464314,418.0,67.375,0.5
21.0,77.85952621243803,76.92300011635366,423.0,65.375,0.5
22.0,77.65129709461469,76.71236540958719,428.0,63.5,0.5
23.0,77.43714963559611,76.49594814377866,429.0,63.25,0.5
24.0,77.21714729189608,76.27381255287298,436.0,60.5,0.5
25.0,76.99135525495707,76.04602456804835,437.0,60.0,0.5
26.0,76.75984043183263,75.81265179814743,438.0,59.75,0.5
27.0,76.52267142536134,75.57376350961064,441.0,58.625,0.5
28.0,76.27991851383834,75.32943060591751,444.0,57.375,0.5
29.0,76.03165363019036,75.07972560654201,472.0,46.75,0.5
30.0,75.77795034066041,74.82472262542844,477.0,45.0,0.5
31.0,75.51888382300857,74.56449734899388,498.0,39.0,0.5
32.0,75.25453084423509,74.29912701366408,512.0,36.0,0.5
33.0,74.98496973783281,74.02869038294912,520.0,35.0,0.5
34.0,74.71028038057518,73.75326772406609,528.0,34.5,0.5
35.0,74.430544168847,73.47294078411511,529.0,34.5,0.5
36.0,74.14584399452505,73.18779276581645,530.0,34.25,0.5
37.0,73.85626422041527,72.89790830281537,531.0,34.25,0.5
38.0,73.56189065525439,72.60337343456237,532.0,34.25,0.5
39.0,73.26281052828288,72.30427558077623,536.0,34.25,0.5
40.0,72.95911246339702,72.0007035154972,550.0,34.75,0.5
41.0,72.6508864528878,71.6927473407384,551.0,35.0,0.5
42.0,72.33822383077418,71.380498459743,553.0,35.25,0.5
43.0,72.0212172457389,71.06404954985516,564.0,36.75,0.5
44.0,71.69996063367469,70.74349453501287,577.0,39.75,0.5
45.0,71.37454918984896,70.41892855787071,581.0,40.75,0.5
46.0,71.0450793406955,70.09044795156103,590.0,43.75,0.5
