All days with start 2021-06-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,35.585672262942865,90.0,50.0,1.5
1.0,80.69962420154593,35.45119234240386,116.0,59.5,1.5
2.0,80.6202674744245,35.3232189659927,133.0,65.0,1.5
3.0,80.53411263610865,35.20179024289506,138.0,67.0,1.5
4.0,80.44118521613636,35.08694233336462,144.0,69.0,1.5
5.0,80.34151275090771,34.97870943795489,175.0,77.5,1.5
6.0,80.23512477552525,34.877123787334654,187.0,80.0,1.5
7.0,80.12205281504212,34.78221563268997,219.0,80.25,0.5
8.0,80.00233037512052,34.694013236715705,234.0,77.5,0.5
9.0,79.8759929321032,34.612542865199146,235.0,77.0,0.5
10.0,79.74307792250114,34.53782877919838,238.0,76.75,0.5
11.0,79.6036247319002,34.469893227817494,241.0,75.75,0.5
12.0,79.4576746832904,34.40875644158112,243.0,75.0,0.5
13.0,79.30527102482102,34.35443662640992,244.0,74.75,0.5
14.0,79.14645891698521,34.30694995819908,254.0,71.75,0.5
15.0,78.98128541923795,34.266310578001246,267.0,67.375,0.5
16.0,78.80979947605137,34.23253058781553,272.0,65.375,0.5
17.0,78.63205190241139,34.205620046983604,277.0,63.5,0.5
18.0,78.44809536876019,34.185586969194134,278.0,63.25,0.5
19.0,78.25798438538882,34.17243732009641,285.0,60.5,0.5
20.0,78.06177528628456,34.166175015523805,286.0,60.0,0.5
21.0,77.85952621243803,34.1668019203277,287.0,59.75,0.5
22.0,77.65129709461469,34.17431784782215,290.0,58.625,0.5
23.0,77.43714963559611,34.18872055983945,293.0,57.375,0.5
24.0,77.21714729189608,34.2100057673967,321.0,46.75,0.5
25.0,76.99135525495707,34.23816713197293,326.0,45.0,0.5
26.0,76.75984043183263,34.27319626739673,347.0,39.0,0.5
27.0,76.52267142536134,34.31508274234352,361.0,36.0,0.5
28.0,76.27991851383834,34.36381408344194,369.0,35.0,0.5
29.0,76.03165363019036,34.41937577898821,377.0,34.5,0.5
30.0,75.77795034066041,34.481751283267684,378.0,34.5,0.5
31.0,75.51888382300857,34.550922021481895,379.0,34.25,0.5
32.0,75.25453084423509,34.62686739528,380.0,34.25,0.5
33.0,74.98496973783281,34.70956478889275,381.0,34.25,0.5
34.0,74.71028038057518,34.79898957586723,385.0,34.25,0.5
35.0,74.430544168847,34.895115126400384,399.0,34.75,0.5
36.0,74.14584399452505,34.9979128152691,400.0,35.0,0.5
37.0,73.85626422041527,35.107352030354484,402.0,35.25,0.5
38.0,73.56189065525439,35.22340018175788,413.0,36.75,0.5
39.0,73.26281052828288,35.34602271150582,426.0,39.75,0.5
40.0,72.95911246339702,35.475183103840976,430.0,40.75,0.5
41.0,72.6508864528878,35.61084289609627,439.0,43.75,0.5
42.0,72.33822383077418,35.752961690148624,,,
43.0,72.0212172457389,35.9014971644491,,,
44.0,71.69996063367469,36.05640508662589,,,
45.0,71.37454918984896,36.2176393266562,,,
46.0,71.0450793406955,36.38515187060336,,,
47.0,70.71164871524113,36.558892834914886,,,
48.0,70.3743561161762,36.73881048127727,,,
49.0,70.0333014905772,36.92485123202316,,,
50.0,69.68858590029026,37.11695968608625,,,
51.0,69.34031149198432,37.31507863549912,,,
