All days with start 2022-01-01,theoretical curve (deg),fitted curve (deg),Days when measured alpha,alpha naive min (deg),uncertainty_pm (deg)
0.0,80.77215930236207,80.7474829722776,5.0,80.25,0.5
1.0,80.69962420154593,80.63961231657807,20.0,77.5,0.5
2.0,80.6202674744245,80.52528761585455,21.0,77.0,0.5
3.0,80.53411263610865,80.4045413285854,24.0,76.75,0.5
4.0,80.44118521613636,80.27740773643262,27.0,75.75,0.5
5.0,80.34151275090771,80.14392293450886,29.0,75.0,0.5
6.0,80.23512477552525,80.00412482112941,30.0,74.75,0.5
7.0,80.12205281504212,79.8580530870523,40.0,71.75,0.5
8.0,80.00233037512052,79.70574920420957,53.0,67.375,0.5
9.0,79.8759929321032,79.54725641393274,58.0,65.375,0.5
10.0,79.74307792250114,79.38261971467593,63.0,63.5,0.5
11.0,79.6036247319002,79.21188584924018,64.0,63.25,0.5
12.0,79.4576746832904,79.03510329150241,71.0,60.5,0.5
13.0,79.30527102482102,78.85232223265307,72.0,60.0,0.5
14.0,79.14645891698521,78.66359456694597,73.0,59.75,0.5
15.0,78.98128541923795,78.46897387696491,76.0,58.625,0.5
16.0,78.80979947605137,78.2685154184106,79.0,57.375,0.5
17.0,78.63205190241139,78.06227610441292,107.0,46.75,0.5
18.0,78.44809536876019,77.85031448937228,112.0,45.0,0.5
19.0,78.25798438538882,77.63269075233534,133.0,39.0,0.5
20.0,78.06177528628456,77.40946667990907,147.0,36.0,0.5
21.0,77.85952621243803,77.18070564871883,155.0,35.0,0.5
22.0,77.65129709461469,76.94647260741462,163.0,34.5,0.5
23.0,77.43714963559611,76.70683405823135,164.0,34.5,0.5
24.0,77.21714729189608,76.46185803810774,165.0,34.25,0.5
25.0,76.99135525495707,76.21161409936971,166.0,34.25,0.5
26.0,76.75984043183263,75.95617328998344,167.0,34.25,0.5
27.0,76.52267142536134,75.69560813338371,171.0,34.25,0.5
28.0,76.27991851383834,75.42999260788355,185.0,34.75,0.5
29.0,76.03165363019036,75.15940212567058,186.0,35.0,0.5
30.0,75.77795034066041,74.88391351139649,188.0,35.25,0.5
31.0,75.51888382300857,74.60360498036525,199.0,36.75,0.5
32.0,75.25453084423509,74.31855611632672,212.0,39.75,0.5
33.0,74.98496973783281,74.02884784888164,216.0,40.75,0.5
34.0,74.71028038057518,73.73456243050444,225.0,43.75,0.5
35.0,74.430544168847,73.43578341319066,,,
36.0,74.14584399452505,73.13259562473517,,,
37.0,73.85626422041527,72.8250851446484,,,
38.0,73.56189065525439,72.51333927971704,,,
39.0,73.26281052828288,72.19744653921637,,,
40.0,72.95911246339702,71.87749660978116,,,
41.0,72.6508864528878,71.55358032994229,,,
42.0,72.33822383077418,71.22578966433633,,,
43.0,72.0212172457389,70.8942176775955,,,
44.0,71.69996063367469,70.55895850792513,,,
45.0,71.37454918984896,70.22010734037649,,,
46.0,71.0450793406955,69.87776037982233,,,
47.0,70.71164871524113,69.5320148236429,,,
48.0,70.3743561161762,69.18296883413015,,,
49.0,70.0333014905772,68.83072151061799,,,
50.0,69.68858590029026,68.47537286134657,,,
51.0,69.34031149198432,68.11702377506843,,,
52.0,68.98858146688296,67.75577599240464,,,
53.0,68.63350005018357,67.39173207695922,,,
54.0,68.27517246017322,67.0249953861997,,,
55.0,67.91370487705015,66.65567004211256,,,
56.0,67.54920441146035,66.28386090164128,,,
57.0,67.18177907275835,65.90967352691598,,,
58.0,66.81153773700167,65.5332141552828,,,
59.0,66.4385901146886,65.1545896691415,,,
60.0,66.06304671824847,64.77390756559993,,,
61.0,65.68501882929453,64.39127592595405,,,
62.0,65.30461846564882,64.00680338500207,,,
63.0,64.92195834814878,63.62059910020135,,,
64.0,64.53715186724568,63.23277272067704,,,
65.0,64.15031304940467,62.84343435609104,,,
66.0,63.761556523316116,62.45269454538022,,,
67.0,63.37099748592873,62.06066422537281,,,
68.0,62.97875166831428,61.66745469929177,,,
69.0,62.58493530137386,61.273177605154146,,,
70.0,62.18966508139626,60.877944884075404,,,
71.0,61.79305813547828,60.48186874848766,,,
72.0,61.39523198681748,60.08506165028094,,,
73.0,60.99630451988749,59.68763624887637,,,
74.0,60.59639394550634,59.28970537924055,,,
75.0,60.195618765807986,58.89138201985001,,,
76.0,59.79409773912761,58.49277926061492,,,
77.0,59.391949844810945,58.09401027077122,,,
78.0,58.98929424795815,57.69518826675021,,,
79.0,58.58625026411257,57.29642648003466,,,
80.0,58.18293732390505,56.897838125010786,,,
81.0,57.77947493766397,56.49953636682497,,,
82.0,57.375982660001796,56.10163428925448,,,
83.0,56.97258005438848,55.70424486260135,,,
84.0,56.5693866577222,55.3074809116184,,,
85.0,56.16652194490803,54.911455083476646,,,
86.0,55.764105293454904,54.516279815783065,,,
87.0,55.3622559481015,54.12206730465791,,,
88.0,54.96109298548147,53.728929472880566,,,
89.0,54.56073527883845,53.336977938113016,,,
90.0,54.16130146280135,52.94632398120991,,,
91.0,53.762909898230326,52.5570785146243,,,
92.0,53.36567863714398,52.169352050917965,,,
93.0,52.96972538773792,51.783254671385194,,,
94.0,52.575167479505296,51.398895994799155,,,
95.0,52.1821218284696,51.01638514628944,,,
96.0,51.79070490253984,50.635830726359835,,,
97.0,51.40103268699864,50.257340780055046,,,
98.0,51.013220650133285,49.88102276628508,,,
99.0,50.62738370901996,49.50698352731609,,,
100.0,50.24363619547135,49.13532925843626,,,
101.0,49.8620918221577,48.76616547780538,,,
102.0,49.482863648911206,48.3995969964967,,,
103.0,49.10606404922402,48.03572788873949,,,
104.0,48.73180467694952,47.674661462370814,,,
105.0,48.36019643321689,47.31650022950493,,,
106.0,47.99134943356873,46.96134587742857,,,
107.0,47.62537297533139,46.609299239730404,,,
108.0,47.262375505227865,46.26046026767288,,,
109.0,46.90246458724268,45.914928001814616,,,
110.0,46.54574687074835,45.572800543891255,,,
111.0,46.19232805890286,45.23417502896301,,,
112.0,45.842312877327565,44.89914759783648,,,
113.0,45.49580504307472,44.56781336976894,,,
114.0,45.15290723389386,44.240266415462514,,,
115.0,44.81372105780619,43.916599730356154,,,
116.0,44.478347022995905,43.59690520822279,,,
117.0,44.14688450802751,43.281273615079385,,,
118.0,43.81943173239773,42.969794563417096,,,
119.0,43.49608572743099,42.66255648675896,,,
120.0,43.17694230752693,42.35964661455229,,,
121.0,42.86209604176855,42.06115094740296,,,
122.0,42.55164022589935,41.767154232658555,,,
123.0,42.24566685467774,41.477739940347334,,,
124.0,41.94426659461707,41.19299023947986,,,
125.0,41.64752875711913,40.91298597471999,,,
126.0,41.35554127200932,40.637806643431865,,,
127.0,41.06839066148107,40.36753037310947,,,
128.0,40.7861620144575,40.10223389919504,,,
129.0,40.50893896137771,39.84199254329275,,,
130.0,40.23680364941531,39.58688019178375,,,
131.0,39.96983671813638,39.336969274848826,,,
132.0,39.70811727560427,39.09233074590429,,,
133.0,39.451722874938184,38.85303406145732,,,
134.0,39.20072949133248,38.61914716138617,,,
135.0,38.95521149954361,38.3907364496511,,,
136.0,38.71524165185124,38.167866775441254,,,
137.0,38.480891056500205,37.95060141476304,,,
138.0,38.25222915662963,37.739002052475115,,,
139.0,38.02932370969537,37.53312876477516,,,
140.0,37.81224076739204,37.333040002143306,,,
141.0,37.601044656080475,37.13879257274728,,,
142.0,37.39579795772646,36.95044162631359,,,
143.0,37.19656149135626,36.76804063846981,,,
144.0,37.003394295034795,36.59164139556201,,,
145.0,36.81635360837118,36.42129397995181,,,
146.0,36.63549485555757,36.25704675579733,,,
147.0,36.46087162894565,36.09894635532184,,,
148.0,36.29253567316616,35.947037665574186,,,
149.0,36.130536869795776,35.801363815684695,,,
150.0,35.974923222576166,35.66196616462018,,,
151.0,35.82574084318941,35.52888428944149,,,
152.0,35.683033937594146,35.40215597406706,,,
153.0,35.546844792926365,35.2818171985454,,,
154.0,35.41721376496885,35.1679021288399,,,
155.0,35.29417926619283,35.060443107128606,,,
156.0,35.17777775437558,34.95947064262175,,,
157.0,35.06804372179725,34.86501340289976,,,
158.0,34.96500968501992,34.77709820577411,,,
159.0,34.86870617525234,34.695750011673326,,,
160.0,34.779161729302864,34.62099191655638,,,
161.0,34.69640288112335,34.552845145355384,,,
162.0,34.62045415394659,34.491329045949534,,,
163.0,34.55133805301956,34.43646108367193,,,
164.0,34.48907505893462,34.388256836350934,,,
165.0,34.43368362156065,34.3467299898874,,,
166.0,34.38518015457599,34.31189233436901,,,
167.0,34.3435790306047,34.28375376072293,,,
168.0,34.308892576957646,34.26232225790759,,,
169.0,34.28113107197964,34.24760391064456,,,
170.0,34.26030274200373,34.23960289769094,,,
171.0,34.24641375891362,34.23832149065299,,,
172.0,34.23946823831474,34.24376005334118,,,
173.0,34.23946823831474,34.25591704166688,,,
174.0,34.24641375891362,34.27478900408079,,,
175.0,34.26030274200373,34.30037058255283,,,
